"name","link","genes","ghits","mhits","mthits"
"FSH signaling pathway","http://wikipathways.org/instance/WP2035","1432,5894,5578,7249,26060,2475,627,1978,6714,6009,2308,5566,1385,1081,2488,1588,2870,207,727738,6198,2492,6199,374,5595,6446,8290,6194,5594","","","hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-124-3p,hsa-miR-24-3p,hsa-miR-125b-5p,hsa-miR-7-5p,hsa-miR-186-5p,hsa-miR-23b-3p,mmu-miR-24-2-5p,hsa-miR-375,hsa-miR-505-3p,hsa-miR-193b-3p,hsa-miR-92a-3p,hsa-miR-17-3p,hsa-miR-744-5p,hsa-miR-296-3p,hsa-miR-17-5p,hsa-miR-340-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-96-5p,hsa-miR-32-5p,hsa-miR-21-5p,hsa-miR-877-3p,hsa-miR-423-3p,hsa-miR-324-3p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-miR-99b-5p,hsa-miR-99a-5p,mmu-miR-100-5p,hsa-miR-144-3p,hsa-miR-100-5p,hsa-miR-16-5p,hsa-miR-181b-5p,hsa-miR-1,hsa-miR-210-3p,hsa-miR-22-3p,hsa-miR-125a-5p,hsa-miR-33a-5p,hsa-miR-205-5p,hsa-miR-155-5p,hsa-miR-18a-3p,hsa-miR-182-5p,hsa-miR-27a-3p,hsa-miR-9-5p,hsa-miR-153-3p,hsa-miR-183-5p,hsa-miR-223-3p,hsa-miR-335-5p,hsa-miR-98-5p,hsa-miR-106b-3p,hsa-miR-132-3p,hsa-miR-196a-5p,hsa-miR-15a-5p,hsa-miR-196b-5p,hsa-miR-331-3p,hsa-miR-365a-3p,hsa-miR-34b-5p,hsa-miR-203a,hsa-miR-103a-3p,hsa-miR-200b-3p,hsa-miR-122-5p,hsa-let-7f-5p,hsa-miR-106a-5p,hsa-miR-19b-3p,hsa-miR-421,hsa-miR-652-3p,hsa-miR-326,hsa-miR-361-5p,hsa-miR-320a,hsa-miR-19a-3p,hsa-miR-185-5p,hsa-miR-149-3p,hsa-miR-451a,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302c-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-26b-5p,hsa-miR-877-5p,hsa-miR-1296-5p,hsa-miR-483-5p,hsa-miR-320b,hsa-miR-34a-5p,hsa-miR-15b-5p,hsa-miR-182-3p,hsa-let-7d-5p,hsa-miR-1260b,hsa-miR-28-5p,hsa-miR-199a-3p,hsa-miR-30a-5p,hsa-miR-766-3p,hsa-miR-769-5p,hsa-miR-92b-3p"
"Differentiation Pathway","http://wikipathways.org/instance/WP2848","1436,1435,7471,6469,2056,1270,3562,9241,4851,3082,2253,7477,8200,3479,7472,1950,7474,3624,7040,2249,4254,2246,7422,2247,7018,10468,4909,3630,10637,4907,3577,8600,7043,3570,89780,5154,5155,22943,3815,652,2323,7482,2255,7173,4838,3569,238,3589","","","hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-148b-3p,hsa-miR-335-5p,hsa-miR-505-3p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-122-5p,hsa-miR-34a-5p,hsa-let-7e-5p,hsa-miR-26b-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-449a,hsa-miR-27b-3p,hsa-miR-24-3p,hsa-miR-23b-3p,hsa-miR-30a-5p,hsa-miR-326,hsa-miR-129-5p,hsa-miR-144-3p,hsa-miR-10b-5p,hsa-miR-181a-5p,hsa-miR-27a-3p,hsa-miR-155-5p,hsa-miR-186-5p,hsa-miR-21-5p,hsa-miR-16-5p,hsa-miR-92a-3p,hsa-miR-31-3p,hsa-miR-633,hsa-miR-744-5p,hsa-miR-185-5p,hsa-miR-222-3p,hsa-miR-124-3p,hsa-miR-7-5p,hsa-miR-200b-3p,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-145-5p,hsa-miR-126-3p,hsa-miR-147a,hsa-miR-134-5p,hsa-miR-140-5p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-150-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-520g-3p,hsa-miR-378a-3p,hsa-miR-330-3p,hsa-miR-383-5p,hsa-miR-125a-5p,hsa-miR-361-5p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-504-5p,hsa-miR-520h,hsa-miR-372-3p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-200c-3p,hsa-miR-503-5p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-133a-3p,hsa-miR-101-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-103a-3p,hsa-miR-32-5p,hsa-miR-302a-3p,hsa-miR-1,hsa-miR-18a-5p,hsa-miR-29a-3p,hsa-miR-10a-5p,hsa-miR-23a-3p,hsa-miR-98-5p,hsa-miR-132-3p,hsa-miR-128-3p,hsa-let-7d-5p,hsa-miR-146b-3p,hsa-miR-31-5p,hsa-miR-221-3p,hsa-miR-146b-5p,hsa-miR-181c-5p,hsa-let-7a-5p,hsa-miR-26a-5p,hsa-miR-365a-3p,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-379-5p"
"Hair Follicle Development: Induction (Part 1 of 3)","http://wikipathways.org/instance/WP2804","26281,1001,4041,8517,4040,6469,1147,4684,1956,9241,2932,2252,1950,1499,3624,389058,8321,6929,51176,10804,10468,1462,4488,3858,657,3713,1896,2263,652,8626,3551,1855,5727,7480,2260,10913,6608,27121,80326,1490,4790,4793,4609","","","hsa-miR-433-3p,hsa-miR-335-5p,hsa-miR-9-5p,hsa-miR-132-3p,hsa-miR-15a-5p,hsa-miR-7-5p,hsa-miR-940,hsa-miR-628-3p,hsa-miR-221-3p,hsa-miR-92a-3p,hsa-miR-26a-5p,hsa-miR-16-5p,hsa-miR-223-3p,hsa-miR-23b-3p,hsa-miR-195-5p,hsa-miR-122-5p,hsa-miR-210-3p,hsa-miR-375,hsa-miR-542-5p,hsa-miR-1,hsa-miR-128-3p,hsa-miR-146a-5p,hsa-miR-21-5p,hsa-miR-128b,hsa-miR-133a-3p,hsa-miR-133b,hsa-miR-27a-3p,hsa-miR-155-5p,hsa-miR-30a-5p,hsa-let-7a-5p,hsa-miR-301b,hsa-miR-877-3p,hsa-miR-425-5p,hsa-miR-20a-5p,hsa-miR-200a-3p,hsa-miR-1826,hsa-miR-214-3p,hsa-miR-124-3p,hsa-miR-34a-5p,hsa-miR-1226-3p,hsa-miR-744-5p,hsa-miR-532-3p,hsa-miR-331-3p,hsa-miR-148b-3p,hsa-miR-31-3p,hsa-miR-10b-5p,hsa-miR-204-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-17-5p,hsa-miR-615-3p,hsa-miR-342-3p,hsa-miR-320a,hsa-miR-193b-3p,hsa-miR-455-3p,hsa-let-7f-5p,hsa-miR-19b-1-5p,hsa-miR-125b-5p,hsa-miR-186-5p,hsa-miR-203a,hsa-miR-199a-5p,hsa-miR-218-5p,hsa-miR-200c-3p,hsa-miR-151a-3p,hsa-miR-378a-3p,hsa-miR-10a-5p,hsa-miR-212-3p,hsa-miR-98-5p,hsa-miR-424-5p,hsa-miR-296-3p,hsa-miR-181b-5p,hsa-miR-326,hsa-miR-324-5p,hsa-miR-338-3p,hsa-miR-25-3p,hsa-miR-18a-5p,hsa-miR-205-5p,hsa-miR-145-5p,hsa-miR-146b-5p,mmu-miR-210-3p,hsa-miR-26b-5p,hsa-miR-24-3p,hsa-let-7g-5p,hsa-miR-451a,hsa-let-7c-5p,hsa-miR-34b-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-miR-320b,hsa-miR-423-5p,hsa-let-7b-5p"
"Inflammatory Response Pathway","http://wikipathways.org/instance/WP453","7535,941,942,3561,3560,940,2335,7448,3458,3559,3558,959,958,1281,7133,7132,3918,3913,3915,7059,1277,3565,3566,3911,645832,3912,1278,3567,3568,3932,7057","","","hsa-miR-34a-5p,hsa-miR-34b-3p,hsa-miR-34c-5p,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-1,hsa-miR-200c-3p,hsa-miR-200b-3p,hsa-miR-615-3p,hsa-miR-335-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-29b-3p,hsa-miR-409-3p,hsa-miR-181c-5p,hsa-miR-484,hsa-miR-146a-5p,hsa-miR-224-5p,hsa-miR-486-5p,hsa-miR-29c-3p,hsa-miR-455-3p,hsa-let-7e-5p,hsa-miR-199b-5p,hsa-miR-148b-3p,hsa-miR-7-5p,hsa-miR-196b-5p,hsa-miR-205-5p,hsa-miR-98-5p,hsa-miR-10b-5p,hsa-miR-10a-5p,hsa-miR-92a-3p,hsa-miR-143-3p,hsa-miR-133a-3p,hsa-miR-331-3p,hsa-miR-320a,hsa-miR-760,hsa-miR-500a-3p,hsa-miR-193b-3p,hsa-miR-125a-5p,hsa-let-7g-5p,hsa-miR-454-5p,hsa-let-7b-5p,hsa-miR-30a-3p,hsa-let-7a-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-155-5p,hsa-miR-132-3p,hsa-miR-30a-5p,hsa-let-7d-5p"
"G1 to S cell cycle control","http://wikipathways.org/instance/WP45","4661,1869,7027,148327,8318,983,90993,1388,10488,6117,6119,6118,23649,4193,1385,5925,472,5933,7029,4609,4331,5557,1029,1028,1027,1026,1032,8900,1030,1031,1647,5111,84699,5427,595,4173,23594,4172,4175,4174,4176,5426,1017,1876,1875,1019,7465,1874,1871,4171,7157,1870,4998,4999,9134,1021,5000,1022,993,5001,894,891,898,902,23595,901,896","","","hsa-miR-27a-3p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-223-3p,hsa-miR-330-3p,hsa-miR-98-5p,hsa-miR-21-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-205-5p,hsa-miR-23b-3p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-miR-126-3p,hsa-miR-149-3p,hsa-miR-331-3p,hsa-miR-362-3p,hsa-miR-193b-3p,hsa-miR-130b-3p,hsa-miR-24-3p,hsa-miR-181b-5p,hsa-miR-10a-5p,hsa-miR-935,hsa-miR-455-3p,hsa-miR-31-5p,hsa-miR-663a,hsa-miR-590-3p,hsa-miR-92a-3p,hsa-miR-197-3p,hsa-miR-375,hsa-miR-1301-3p,hsa-miR-615-3p,hsa-miR-339-5p,hsa-let-7e-5p,hsa-miR-26b-5p,hsa-miR-19b-3p,hsa-miR-1226-3p,hsa-miR-1,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-18b-5p,hsa-miR-605-5p,hsa-miR-504-5p,hsa-miR-484,hsa-miR-3929,hsa-miR-34b-5p,hsa-miR-203a,hsa-miR-103a-3p,hsa-miR-182-5p,hsa-miR-200b-3p,hsa-miR-122-5p,hsa-miR-212-3p,hsa-miR-26a-5p,hsa-miR-335-5p,hsa-miR-675-5p,hsa-miR-132-3p,hsa-miR-149-5p,hsa-miR-100-5p,hsa-miR-99a-5p,hsa-miR-421,hsa-miR-101-5p,hsa-miR-101-3p,hsa-miR-374a-5p,hsa-miR-181a-5p,hsa-miR-18a-5p,hsa-miR-3144-3p,hsa-miR-141-3p,hsa-let-7g-5p,hsa-miR-451a,hsa-let-7c-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-let-7f-5p,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-320a,hsa-let-7b-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-30a-5p,hsa-miR-10b-5p,hsa-miR-125b-5p,hsa-miR-155-5p,hsa-miR-124-3p,hsa-miR-296-3p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-92b-3p,hsa-miR-196a-5p,hsa-miR-190a-5p,hsa-miR-218-5p,hsa-miR-128b,hsa-miR-1260b,hsa-miR-942-5p,hsa-miR-657,hsa-miR-654-3p,hsa-miR-639,hsa-miR-572,hsa-miR-520h,hsa-miR-520b,hsa-miR-520a-3p,hsa-miR-519e-3p,hsa-miR-519d-3p,hsa-miR-519b-3p,hsa-miR-515-3p,hsa-miR-423-3p,hsa-miR-372-3p,hsa-miR-363-3p,hsa-miR-345-5p,hsa-miR-299-5p,hsa-miR-298,hsa-miR-28-5p,hsa-miR-20b-5p,hsa-miR-208b-3p,hsa-miR-208a-3p,hsa-miR-125a-5p,hsa-miR-503-5p,hsa-miR-519a-3p,hsa-miR-96-5p,hsa-miR-302a-3p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-519c-3p,hsa-miR-1229-3p,hsa-miR-505-5p,hsa-miR-374b-5p,hsa-miR-195-5p,hsa-miR-424-5p,hsa-miR-16-1-3p,hsa-miR-19b-1-5p,hsa-miR-365a-3p,hsa-miR-19a-3p,hsa-miR-15b-5p,hsa-miR-449a,hsa-miR-302c-3p,hsa-miR-338-3p,hsa-miR-9-5p,hsa-miR-425-5p,hsa-miR-183-5p,hsa-miR-501-3p,hsa-miR-31-3p,hsa-miR-324-3p,hsa-miR-93-3p,hsa-miR-99b-5p,hsa-miR-1180-3p,hsa-miR-885-5p,hsa-miR-1914-5p,hsa-miR-324-5p,hsa-miR-302d-3p,hsa-miR-376a-3p,hsa-miR-361-5p,hsa-miR-151a-5p,hsa-miR-193a-3p,hsa-miR-137,hsa-miR-449b-5p,hsa-miR-766-3p,hsa-miR-128-3p,hsa-miR-130b-5p,hsa-miR-186-5p,hsa-miR-210-3p,hsa-miR-30c-5p,hsa-miR-1296-5p,hsa-miR-500a-5p,hsa-miR-30d-5p,hsa-miR-1285-3p,hsa-miR-612,hsa-miR-214-3p,hsa-miR-608,hsa-miR-485-5p,hsa-miR-454-3p,hsa-miR-150-5p,hsa-miR-22-3p,hsa-miR-7-5p,hsa-miR-877-5p,hsa-miR-505-3p,hsa-miR-30b-5p,hsa-miR-200a-3p,hsa-miR-200c-3p,hsa-miR-29a-3p,hsa-miR-29b-3p,mmu-miR-124-3p,mmu-miR-137-3p,hsa-miR-107,hsa-miR-30a-3p,hsa-miR-29c-3p,hsa-miR-185-5p,hsa-miR-191-5p,hsa-miR-1303,hsa-miR-877-3p,hsa-miR-18a-3p,hsa-let-7i-5p,hsa-miR-302b-3p,hsa-miR-206,hsa-miR-342-3p,hsa-miR-301a-3p,hsa-miR-151a-3p,hsa-miR-342-5p,hsa-miR-138-5p,hsa-miR-27b-3p"
"Prostaglandin Synthesis and Regulation","http://wikipathways.org/instance/WP98","1910,653145,5737,5732,5731,5734,5733,5617,6281,5739,7356,1583,244,5740,5729,302,3291,3290,301,5321,5743,6277,5742,306,308,307,309,1906,1909,5730,6916,3248","","","hsa-miR-124-3p,hsa-miR-26b-5p,hsa-let-7b-5p,hsa-miR-21-5p,hsa-miR-148b-3p,hsa-miR-100-5p,hsa-miR-1,hsa-miR-155-5p,hsa-miR-769-3p,hsa-miR-132-3p,hsa-miR-335-5p,hsa-miR-196a-5p,hsa-miR-30a-5p,hsa-miR-146b-5p,hsa-miR-10a-5p,hsa-miR-449c-5p,hsa-miR-137,hsa-miR-16-5p,hsa-miR-101-3p,hsa-miR-128-3p,hsa-miR-181a-5p,hsa-miR-18a-3p,hsa-miR-330-5p,hsa-miR-34a-5p,hsa-miR-877-3p,hsa-miR-324-5p,hsa-miR-199a-5p,hsa-miR-203a,hsa-miR-27b-3p,hsa-miR-224-5p,hsa-miR-200c-3p"
"IL1 and megakaryotyces in obesity","http://wikipathways.org/instance/WP2865","2147,2149,4318,3606,6347,6280,7941,3383,5290,1232,4615,3458,7077,1839,7076,2205,3553,8991,7096,4790,7097,3554,3654,114548","","","hsa-miR-1,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-9-5p,hsa-miR-877-3p,hsa-let-7a-5p,hsa-miR-451a,hsa-miR-338-3p,hsa-miR-21-5p,hsa-miR-346,hsa-miR-124-3p,hsa-miR-155-5p,hsa-miR-26b-5p,hsa-miR-24-3p,hsa-miR-196a-5p,hsa-miR-335-5p,hsa-miR-17-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-31-5p,hsa-miR-17-5p,hsa-miR-1256,hsa-miR-98-5p,hsa-miR-148b-3p,hsa-miR-203a,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-29b-3p,hsa-miR-409-3p,hsa-miR-519d-3p,hsa-miR-519c-3p,hsa-miR-194-5p,hsa-miR-132-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-519a-3p,hsa-miR-204-5p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-miR-146a-5p,hsa-miR-146b-5p,mmu-miR-210-3p,hsa-miR-105-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-197-3p,hsa-miR-1226-3p,hsa-miR-744-5p,hsa-miR-330-5p,hsa-miR-93-3p,hsa-miR-193b-3p,hsa-miR-423-3p,hsa-miR-328-3p,hsa-miR-100-5p"
"p38 MAPK Signaling Pathway","http://wikipathways.org/instance/WP400","4209,4149,3265,8550,1432,6464,2002,6772,9261,3315,7042,8569,6416,7186,8737,1649,1386,7046,8717,3150,4217,9252,5321,4214,5923,4293,6885,5608,1385,1616,2885,5879,4609,998","","","hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-99a-5p,hsa-miR-26b-5p,hsa-miR-19b-3p,hsa-miR-877-5p,hsa-miR-320a,hsa-let-7f-5p,hsa-miR-193b-3p,hsa-miR-181d-5p,hsa-let-7a-5p,hsa-miR-143-3p,hsa-miR-181a-5p,hsa-miR-615-3p,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-124-3p,hsa-miR-24-3p,hsa-miR-125b-5p,hsa-miR-429,hsa-miR-200c-3p,hsa-miR-200b-3p,hsa-miR-30b-5p,hsa-miR-186-5p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-34a-5p,hsa-miR-1229-3p,hsa-miR-324-5p,hsa-miR-335-5p,hsa-miR-375,hsa-miR-21-5p,hsa-miR-15b-5p,hsa-miR-96-5p,hsa-miR-374b-5p,hsa-miR-15a-5p,hsa-let-7c-5p,hsa-miR-204-5p,hsa-miR-128-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-101-3p,hsa-miR-98-5p,hsa-let-7d-5p,hsa-miR-197-3p,hsa-miR-484,hsa-miR-100-5p,hsa-miR-16-5p,hsa-miR-769-3p,hsa-miR-148a-3p,hsa-miR-27a-3p,hsa-miR-744-5p,hsa-miR-93-5p,hsa-miR-19a-3p,hsa-miR-30a-5p,hsa-miR-146b-5p,hsa-miR-10a-5p,hsa-miR-449c-5p,hsa-miR-192-5p,hsa-miR-423-3p,hsa-miR-125a-5p,hsa-let-7g-5p,hsa-miR-339-5p,hsa-miR-103a-3p,hsa-miR-1226-5p,hsa-miR-425-5p,hsa-miR-34b-5p,hsa-miR-203a,hsa-miR-182-5p,hsa-miR-122-5p,hsa-miR-222-3p,hsa-miR-433-3p,hsa-miR-378a-3p,hsa-miR-7-5p,hsa-miR-92b-3p,rno-miR-194-5p,hsa-miR-194-5p,hsa-miR-155-5p,hsa-miR-652-3p,hsa-miR-30c-5p,hsa-miR-451a,hsa-miR-26a-5p,hsa-miR-34c-5p,hsa-miR-34b-3p,hsa-miR-135a-5p,hsa-miR-320b,hsa-miR-423-5p,hsa-let-7b-5p,hsa-miR-224-5p,hsa-miR-29a-3p,hsa-miR-29c-3p,hsa-miR-185-5p,hsa-miR-29b-3p,hsa-miR-137,hsa-miR-216a-5p,hsa-miR-330-3p,hsa-miR-608,hsa-miR-195-5p,hsa-miR-1,hsa-miR-93-3p,hsa-miR-106b-5p"
"Statin Pathway","http://wikipathways.org/instance/WP430","64714,8694,4023,338,19,336,1071,949,337,335,3990,3949,1581,2222,3156,407039,84532,6646,6713,4035,116519,341,5360,344,345,693120,346,348,4547,64240,64241,3931","407039,693120","hsa-mir-33a,hsa-mir-33b","hsa-miR-125b-5p,hsa-miR-26b-5p,hsa-miR-484,hsa-miR-183-5p,hsa-miR-155-5p,hsa-miR-138-5p,hsa-miR-29a-3p,hsa-miR-148b-3p,hsa-let-7b-5p,hsa-miR-33b-5p,hsa-miR-33a-5p,hsa-miR-26a-5p,hsa-miR-19a-3p,hsa-miR-27a-3p,hsa-miR-185-5p,hsa-miR-96-5p,hsa-miR-223-3p,hsa-miR-877-3p,hsa-miR-615-3p,hsa-miR-324-5p,hsa-miR-92a-3p,hsa-miR-1,hsa-miR-130a-3p,hsa-miR-335-5p,hsa-miR-130b-3p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-93-5p,hsa-miR-30a-5p,hsa-miR-19b-3p,hsa-miR-744-5p,hsa-miR-26b-3p,hsa-miR-92b-3p,hsa-miR-149-5p,hsa-miR-122-5p,hsa-miR-422a,hsa-miR-760,hsa-miR-193b-3p,hsa-miR-29c-3p,hsa-miR-32-5p,hsa-miR-34a-5p,hsa-miR-191-5p,hsa-miR-25-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-98-5p,hsa-miR-1303,hsa-miR-500a-3p,hsa-miR-186-5p,hsa-let-7e-5p,hsa-miR-338-5p,hsa-miR-545-3p,hsa-miR-205-5p,hsa-miR-9-5p"
"IL-7 Signaling Pathway","http://wikipathways.org/instance/WP205","6774,3561,6772,2932,1027,572,3559,3575,595,5605,598,3574,5604,3716,207,3718,6777,5595,6776,2534,2185,5295,5296,4609,5594","","","hsa-miR-20b-5p,hsa-miR-125b-5p,hsa-miR-337-3p,hsa-miR-155-5p,hsa-miR-93-5p,hsa-miR-21-5p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-let-7e-5p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-34a-5p,hsa-miR-615-3p,hsa-miR-26a-5p,hsa-miR-877-3p,hsa-miR-425-5p,hsa-miR-222-3p,hsa-miR-221-3p,hsa-miR-181a-5p,hsa-miR-24-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-190a-5p,hsa-miR-218-5p,hsa-miR-128b,hsa-miR-98-5p,hsa-miR-1260b,hsa-miR-330-5p,hsa-miR-26b-5p,hsa-miR-195-5p,hsa-miR-193b-3p,hsa-miR-424-5p,hsa-miR-16-1-3p,hsa-miR-520b,hsa-miR-503-5p,hsa-miR-19b-1-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-365a-3p,hsa-let-7b-5p,hsa-miR-19a-3p,hsa-miR-302a-3p,hsa-miR-15b-5p,hsa-miR-449a,hsa-miR-17-5p,hsa-miR-302c-3p,hsa-miR-106b-5p,hsa-miR-34b-3p,hsa-miR-338-3p,hsa-miR-9-5p,hsa-miR-374b-5p,hsa-miR-1,hsa-miR-183-5p,hsa-let-7f-5p,hsa-miR-7-5p,hsa-miR-491-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-miR-122-5p,hsa-miR-30a-5p,hsa-miR-484,hsa-miR-23b-3p,hsa-miR-133a-3p,hsa-miR-335-5p,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-1826,hsa-miR-497-5p,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-93-3p,hsa-miR-30c-5p,hsa-miR-185-5p,hsa-miR-149-3p,hsa-miR-451a,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-1229-3p,hsa-miR-324-3p,hsa-miR-483-5p,hsa-miR-320b,hsa-miR-423-3p,hsa-miR-29a-3p,hsa-miR-376a-3p,hsa-let-7a-5p,hsa-miR-126-3p,hsa-miR-296-3p,hsa-miR-34b-5p,hsa-miR-34c-5p,hsa-miR-378a-3p,hsa-miR-135a-5p,hsa-miR-449c-5p,hsa-miR-429,hsa-miR-744-5p,hsa-miR-423-5p,hsa-miR-320a,hsa-miR-28-5p,hsa-miR-199a-3p,hsa-miR-766-3p,hsa-miR-769-5p,hsa-miR-92b-3p"
