miRBase ID(s)	EntrezGene ID
hsa-mir-548d-1	100500863
hsa-mir-548aa-1	693130
hsa-mir-548aa-1	100500863
hsa-mir-449b	693123
hsa-mir-4324	100422979
hsa-mir-7850	102465838
hsa-mir-7706	102465803
hsa-mir-3131	100422957
hsa-mir-559	693144
hsa-mir-4762	100616253
hsa-mir-326	442900
	5029
hsa-mir-548h-2	100313773
	677811
hsa-mir-3684	100500867
hsa-mir-6754	102466728
hsa-mir-4685	100616482
hsa-mir-4773-1	100616392
hsa-mir-4773-1	100616418
hsa-mir-4773-2	100616392
hsa-mir-4773-2	100616418
hsa-mir-3677	100500812
hsa-mir-512-2	574459
hsa-mir-1207	100302175
hsa-mir-548x-2	100616302
hsa-mir-5705	100847027
hsa-mir-6075	102466103
hsa-mir-7151	102466814
hsa-mir-509-3	100126337
hsa-mir-6788	102466735
hsa-mir-4276	100423042
	677837
hsa-mir-1298	100302153
hsa-mir-203a	406986
hsa-mir-3609	100500819
hsa-mir-1537	100302139
	767579
hsa-mir-3670-1	103504740
hsa-mir-3670-2	103504740
hsa-mir-3670-3	103504740
hsa-mir-3670-4	103504740
hsa-mir-6508	102466972
hsa-mir-4506	100616140
hsa-mir-4747	100616337
hsa-mir-4728	100616132
hsa-mir-7107	102465665
hsa-mir-4741	100616139
hsa-mir-4459	100616233
hsa-mir-143	406935
	100873740
hsa-mir-1202	100302259
	1429
hsa-mir-133a-1	406922
	101340250
hsa-mir-5696	100847007
hsa-mir-6824	102465495
	254879
hsa-mir-620	693205
hsa-mir-5787	102464817
hsa-mir-1299	100302167
	1062
	442184
	8411
	284415
	9112
	5564
	8942
	26261
	84220
	729540
	83940
hsa-mir-125b-2	406912
hsa-mir-6815	102465489
hsa-mir-2681	100616110
hsa-mir-5582	100847020
hsa-mir-6798	102466738
hsa-mir-6873	102466754
hsa-mir-6721	102466190
hsa-mir-4316	100422851
hsa-mir-3652	100500842
hsa-mir-2116	100313886
hsa-mir-1260a	100302236
	101954278
	319103
hsa-mir-2276	100313842
hsa-mir-1254-2	100616217
	259295
hsa-mir-3118-2	100422935
hsa-mir-3118-3	100422935
hsa-mir-3118-4	100422935
hsa-mir-297	100126354
hsa-mir-518b	574474
hsa-mir-4706	100616490
hsa-mir-3934	100500873
hsa-mir-3690-1	100500894
hsa-mir-3690-2	100500894
hsa-mir-591	693176
	26821
	100169764
	594837
	677845
hsa-mir-4663	100616260
hsa-mir-3133	100422942
hsa-mir-1303	100302284
hsa-mir-6777	102465466
