"entrez","wpids"
"114609","WP1449, WP2324, WP3851, WP3858, WP75"
"1147","WP1433, WP1434, WP1449, WP1544, WP195, WP1984, WP2018, WP2034, WP2036, WP23, WP231, WP2324, WP2332, WP2377, WP2380, WP2526, WP254, WP262, WP2637, WP2795, WP288, WP3303, WP3617, WP3845, WP3849, WP3851, WP3858, WP3863, WP3865, WP3929, WP395, WP69, WP712, WP75"
"114781","WP3594"
"114787","WP3584"
"114815","WP2858"
"114822","WP2858"
"114826","WP2369"
"1149","WP2895"
"114907","WP3850, WP727"
"114971","WP2533"
"115","WP289, WP35, WP3929, WP536"
"1152","WP497"
"115201","WP2509"
"115265","WP1471"
"1154","WP1449, WP1544, WP2034, WP2037, WP2203, WP49, WP581"
"115584","WP2884"
"115703","WP481"
"115727","WP382"
"1158","WP497"
"115825","WP2853, WP2857"
"116","WP706"
"116255","WP325"
"116285","WP3871"
"116362","WP716"
"116448","WP2064"
"116511","WP455"
"116519","WP2878, WP3942, WP430"
"116986","WP2037"
"117","WP334, WP706"
"117283","WP2879"
"1173","WP2267, WP437"
"1175","WP2267, WP437"
"117584","WP231"
"118424","WP2359, WP2371"
"118442","WP117"
"118672","WP28"
"118788","WP23"
"118856","WP129"
"1191","WP558"
"119391","WP702"
"1195","WP411"
"1196","WP411"
"1198","WP411"
"12","WP15, WP1533, WP176"
"120227","WP1531, WP43, WP702"
"120776","WP455"
"120892","WP2328, WP2371, WP382, WP399"
"1211","WP2267"
"121278","WP1455, WP3594, WP706, WP727"
"1213","WP2267, WP3888, WP558"
"1215","WP3624, WP554"
"121504","WP2361, WP2369"
"121506","WP3613"
"121536","WP2369, WP2853, WP2857, WP2916"
"122042","WP289"
"122809","WP1584"
"122830","WP702"
"123","WP236"
"1230","WP24, WP3929, WP455"
"123169","WP2853"
"1232","WP24, WP286, WP2865, WP3624, WP3929, WP455"
"123263","WP241"
"123264","WP2289"
"1233","WP24, WP3929, WP455"
"1234","WP117, WP24, WP455, WP69"
"1235","WP24, WP3929, WP455"
"1236","WP24, WP3929, WP455"
"1237","WP24, WP3929, WP455"
"1238","WP455"
"124","WP206, WP716"
"1240","WP455"
"124056","WP231"
"1241","WP2431, WP455, WP80"
"1244","WP1604, WP2289, WP229, WP2875, WP2884, WP299, WP3612"
"125","WP206"
"125061","WP2485, WP465"
"125206","WP2884"
"126","WP206, WP3925"
"126129","WP1403, WP3942"
"126206","WP3527"
"1263","WP1984"
"126328","WP623"
"126370","WP455"
"1264","WP2197, WP289"
"126410","WP43, WP702"
"1265","WP289"
"1267","WP2276, WP3584"
"1268","WP117, WP2380, WP247, WP3679, WP455"
"1269","WP247, WP455"
"126961","WP2369"
"127","WP206, WP3925, WP716"
"1270","WP2848"
"1271","WP236"
"127343","WP2064"
"127534","WP536"
"127550","WP1423, WP1424"
"1277","WP2643, WP306, WP322, WP3932, WP453, WP615"
"1278","WP2911, WP306, WP366, WP3932, WP453"
"128","WP1589, WP3925"
"1280","WP2064, WP2431, WP306, WP3670, WP3932, WP474"
"1281","WP2911, WP306, WP3932, WP453, WP615"
"128178","WP3930"
"1282","WP2431, WP2911, WP306, WP3287, WP3932"
"1284","WP2911, WP306, WP3646, WP3932"
"1285","WP2572"
"1286","WP2572, WP306, WP3932"
"128674","WP117, WP3594"
"1287","WP2572"
"1288","WP306, WP3932"
"1289","WP2328, WP2911, WP306, WP3932"
"1290","WP2911, WP306, WP3932"
"1291","WP2911"
"1292","WP2911, WP306, WP3932"
"1293","WP2911"
"129521","WP3594"
"1297","WP2363"
"1299","WP2363"
"130","WP206"
"1300","WP474, WP615"
"130013","WP3645, WP465"
"1301","WP306, WP3932"
"1302","WP2064, WP306, WP3932"
"130367","WP1422"
"130399","WP382"
"131","WP206, WP2884, WP3925"
"1311","WP306, WP3932"
"1312","WP2436, WP550, WP697, WP702, WP704"
"131405","WP2853, WP2857"
"1316","WP236, WP2586, WP366"
"1317","WP3286"
"1318","WP3286"
"132014","WP2112"
"1326","WP1449, WP231, WP2637, WP382, WP3863, WP3915, WP481, WP69, WP75"
"132625","WP2406, WP3527"
"1327","WP111"
"1329","WP111"
"133","WP289"
"133383","WP2369"
"133522","WP1403, WP1982, WP2895, WP391, WP706"
"1337","WP111"
"1339","WP111"
"134","WP3594, WP455, WP80"
"1340","WP111"
"1345","WP111"
"1346","WP111"
"1347","WP111"
"134701","WP2854"
"1349","WP111"
"135","WP117, WP3594, WP455, WP727, WP80"
"1350","WP111"
"1351","WP111, WP678"
"135112","WP2586"
"1353","WP111, WP3286"
"135458","WP1530, WP707"
"1355","WP111"
"135946","WP455"
"135948","WP455"
"136","WP455, WP80"
"1361","WP558"
"1364","WP3594"
"1369","WP496"
"1371","WP561"
"1373","WP3925, WP497"
"1374","WP1403, WP143, WP2878, WP3594, WP368, WP3934, WP3942, WP706"
"1375","WP1403, WP143, WP3942"
"1376","WP143, WP2878, WP368, WP3942"
"1378","WP2572, WP558"
"1380","WP23, WP3941, WP558"
"1381","WP716"
"1382","WP716"
"1384","WP143"
"138429","WP51"
"1385","WP138, WP1530, WP1545, WP1589, WP1982, WP1984, WP2032, WP2034, WP2035, WP23, WP2332, WP2355, WP236, WP2374, WP2377, WP2380, WP2516, WP2636, WP289, WP3584, WP3594, WP3599, WP3676, WP3853, WP3888, WP391, WP3932, WP3946, WP400, WP437, WP45, WP585, WP69, WP706, WP707, WP712, WP734"
"1386","WP195, WP23, WP2324, WP2516, WP2637, WP289, WP3611, WP366, WP382, WP3878, WP3888, WP3932, WP395, WP3959, WP400, WP69"
"1387","WP138, WP1539, WP231, WP2377, WP268, WP3414, WP364, WP3651, WP3657, WP366, WP399, WP560, WP706"
"1388","WP289, WP3932, WP45"
"138883","WP117"
"1390","WP28, WP3594, WP706"
"139135","WP3594"
"1392","WP2355, WP289, WP3594, WP3944, WP3947"
"1393","WP2355"
"1394","WP2355, WP289, WP334, WP3944"
"1395","WP2355, WP334"
"1398","WP185, WP23, WP2377, WP304, WP306, WP313, WP3303, WP382, WP3888, WP3915, WP3929, WP437, WP481, WP51, WP585, WP673, WP69"
"1399","WP23, WP286, WP304, WP313, WP382, WP3929, WP437, WP49, WP585, WP69"
"14","WP1433"
"140","WP117, WP455, WP80"
"1401","WP15, WP1533, WP176, WP3287, WP364"
"140597","WP2853"
"1406","WP3594"
"140606","WP15, WP28"
"140679","WP2267"
"1407","WP3298, WP3594, WP410"
"140738","WP382"
"140739","WP179, WP1984"
"1408","WP3298, WP3594, WP410"
"140809","WP3612"
"140885","WP2037, WP2380, WP2406"
"140890","WP411"
"142","WP2355, WP2513, WP314, WP3630, WP3644, WP3645, WP3959"
"143","WP3645"
"1431","WP2453, WP3925, WP78"
