"entrez","wpids"
"12587","WP2074"
"12591","WP1763"
"12606","WP2872, WP447, WP572"
"12608","WP1245, WP273, WP2872, WP3632, WP387, WP447, WP544, WP572"
"12609","WP2872, WP2910, WP447"
"12614","WP1396, WP41"
"12622","WP1763"
"12627","WP3991"
"12628","WP449"
"12630","WP449"
"12631","WP298, WP523"
"12632","WP298, WP523"
"12633","WP1254, WP246, WP571"
"12643","WP2841, WP85"
"12647","WP175, WP522"
"12649","WP2087, WP2902, WP373"
"12651","WP1269, WP1770, WP1771"
"12660","WP175, WP1770, WP1771"
"12661","WP1983"
"12669","WP1396, WP189, WP2841, WP523, WP553, WP570"
"12671","WP1396, WP189, WP523, WP553, WP570"
"12672","WP1396, WP189, WP523, WP553, WP570"
"12675","WP1243, WP1244, WP1254, WP1256, WP1560, WP2292, WP246, WP37, WP450, WP88"
"12696","WP310"
"12700","WP1249, WP1560, WP373, WP407, WP450"
"12702","WP10, WP1253, WP373, WP387, WP447, WP450, WP572, WP578, WP65"
"12703","WP1249, WP1253, WP151, WP3855, WP407, WP447, WP450, WP572, WP578, WP65"
"12704","WP298"
"12737","WP2573"
"12741","WP544"
"12747","WP310"
"12748","WP310"
"12750","WP310"
"12753","WP544"
"12765","WP1396, WP189, WP2292, WP234"
"12766","WP1396, WP189, WP2292, WP234"
"12767","WP1396, WP189, WP2292, WP234"
"12768","WP1396, WP189, WP2292, WP234"
"12769","WP1396, WP189, WP2292, WP234"
"12770","WP1396, WP189, WP2292, WP234"
"12771","WP1396, WP189, WP2292, WP234, WP3632"
"12772","WP1396, WP189, WP2292, WP234, WP2432, WP3632"
"12773","WP1396, WP189, WP2292, WP234"
"12774","WP189, WP2292, WP234"
"12775","WP1396, WP2292, WP234, WP41"
"12776","WP1396, WP189, WP2292, WP234"
"12777","WP1396, WP2292, WP234, WP41"
"12778","WP1396, WP189, WP385"
"12780","WP431, WP475"
"12797","WP385"
"12799","WP2910"
"12801","WP1396, WP189, WP353, WP41"
"12802","WP1396, WP189, WP353"
"12803","WP265"
"12804","WP265, WP447"
"12805","WP265"
"12813","WP1270"
"12814","WP2841, WP85"
"12815","WP2074, WP2841, WP85"
"12821","WP488"
"12824","WP1270, WP2074, WP2432, WP2841, WP85"
"12825","WP2841, WP3855, WP458, WP85"
"12826","WP2432, WP2841, WP85"
"12827","WP2841, WP3855, WP85"
"12828","WP2573, WP310"
"12829","WP2573, WP2841, WP85"
"12830","WP2573"
"12831","WP2841, WP85"
"12832","WP2841, WP85"
"12834","WP2841, WP85"
"12842","WP238, WP2841, WP3855, WP458, WP85"
"12843","WP2841, WP3855, WP458, WP85"
"12845","WP2841"
"12846","WP1247, WP1251, WP1264, WP522"
"12856","WP295"
"12857","WP295"
"12858","WP1250, WP295"
"12859","WP295"
"12861","WP295"
"12862","WP295"
"12864","WP295"
"12865","WP295"
"12866","WP295"
"12868","WP1250, WP295"
"12877","WP310"
"12892","WP18"
"12894","WP1269, WP2316, WP2318, WP401, WP683"
"12895","WP1269, WP2316"
"12896","WP1269, WP2316, WP2318, WP401"
"12902","WP1496, WP449"
"12903","WP1259"
"12904","WP1259"
"12905","WP1254, WP246"
"12908","WP1269"
"12909","WP385"
"12912","WP1244, WP1246, WP1263, WP1266, WP1763, WP2087, WP2841, WP2872, WP2910, WP350, WP373, WP385, WP447, WP450, WP572"
"12913","WP2841, WP385"
"12914","WP113, WP116, WP1244, WP1763, WP246, WP29, WP387, WP723"
"12915","WP2841, WP385"
"12916","WP108"
"12918","WP2140, WP2141, WP385"
"12921","WP1396, WP2140, WP385, WP456"
"12922","WP1396, WP456"
"12927","WP2292, WP523, WP572, WP6, WP85"
"12928","WP1261, WP193, WP2292, WP373, WP407, WP450, WP493, WP523, WP572, WP6, WP65, WP85"
"12929","WP151, WP193, WP2292, WP373, WP3855, WP407, WP450, WP493, WP572, WP85"
"12934","WP1763"
"12946","WP2573, WP449"
"12952","WP544"
"12953","WP544"
"12961","WP539"
"12974","WP434, WP662"
"12977","WP222, WP2841"
"12978","WP2841"
"12981","WP222, WP3632"
"12983","WP151, WP373, WP407"
"12985","WP222, WP2841, WP3632"
"12986","WP2841"
"12988","WP2292, WP523, WP572, WP6"
"12994","WP1983"
"12995","WP246, WP539"
"13000","WP246, WP539"
"13001","WP246, WP539"
"13003","WP2432"
"13004","WP2432"
"13006","WP2910"
"13007","WP2910"
"13016","WP1763, WP29, WP539, WP723"
"13017","WP1763, WP2074, WP29, WP539, WP723"
"13018","WP1266, WP1763, WP2910"
"13019","WP1560"
"13026","WP175, WP1770, WP1771"
"13038","WP454"
"13039","WP1270, WP2573"
"13046","WP310, WP447"
"13051","WP1396, WP189, WP2292, WP234"
"13057","WP3626, WP412"
"13058","WP1253, WP3626"
"13063","WP1496, WP2902, WP3638"
"13067","WP1496, WP2902"
"13070","WP1251, WP1274, WP374, WP495"
"13072","WP1251, WP1274, WP495"
"13074","WP1251, WP1274, WP495, WP55"
"13075","WP1251, WP1274, WP273, WP79"
"13076","WP1251, WP1264, WP1274, WP33, WP412, WP79"
"13077","WP1251, WP1262, WP1264, WP1274, WP33, WP431, WP79"
"13078","WP1251, WP1264, WP1274, WP79"
"13079","WP1251, WP1274, WP495"
"13081","WP1251, WP1274, WP431"
"13082","WP1251, WP1259, WP1274, WP431, WP447"
"13088","WP431"
"13106","WP1251, WP1259, WP1274, WP33, WP431, WP79"
"13107","WP1251, WP1274, WP79"
"13110","WP79"
"13115","WP1251, WP1274, WP431"
"13116","WP1251, WP1274"
"13117","WP2316"
"13118","WP2316"
"13119","WP2316"
"13120","WP1251, WP1274, WP431"
"13121","WP103, WP1251, WP1274"
"13122","WP1, WP1251, WP1274, WP2316, WP431"
"13123","WP1251, WP1274, WP79"
"13124","WP1251, WP1274, WP2316, WP431"
"13131","WP1983"
"13132","WP539"
"13136","WP200, WP449"
"13137","WP449"
"13138","WP2573"
"13139","WP1763"
"13162","WP1498, WP3638"
"13163","WP350, WP387, WP493, WP571"
"13164","WP1763, WP273, WP310"
"13166","WP522, WP662"
"13167","WP2316"
"13177","WP1269, WP401"
"13178","WP2185"
"13190","WP2074"
"13194","WP1763"
"13195","WP1266, WP1498, WP3638, WP522, WP662, WP79"
"13196","WP572"
"13197","WP1496, WP1763, WP2087, WP2432, WP2902, WP413, WP447, WP493"
"13198","WP2872, WP350, WP447, WP493"
"13204","WP310"
"13205","WP246, WP310"
"13206","WP310"
"13207","WP310"
"13209","WP310"
"13211","WP1763, WP310"
"13346","WP216"
"13347","WP1254, WP1763, WP571"
"13349","WP1396, WP41"
"13350","WP1, WP386"
"13360","WP103"
"13361","WP1770, WP435, WP87"
"13363","WP116"
"13367","WP298, WP523, WP85"
"13368","WP1254, WP571"
"13370","WP108"
"13371","WP108"
"13380","WP1763, WP2573, WP3652, WP539"
"13382","WP1269, WP157, WP434, WP662"
"13383","WP539"
"13385","WP539"
"13386","WP447"
"13388","WP2074, WP265, WP2852, WP29"
"13389","WP2074, WP29"
