entrez,mirbase
100422904,hsa-mir-3193
100422889,hsa-mir-3194
100422838,hsa-mir-3195
100423014,hsa-mir-3196
100423023,hsa-mir-3197
100423025,hsa-mir-3198-1
100423034,hsa-mir-3199-1
100423034,hsa-mir-3199-2
100422998,hsa-mir-3199-2
407036,hsa-mir-32
100422912,hsa-mir-3200
100422916,hsa-mir-3201
100422987,hsa-mir-3202-1
100422987,hsa-mir-3202-2
100422877,hsa-mir-3202-2
407037,hsa-mir-320a
100302117,hsa-mir-320b-1
100313769,hsa-mir-320b-2
100302135,hsa-mir-320c-1
100302195,hsa-mir-320c-2
100313896,hsa-mir-320d-1
100302169,hsa-mir-320d-2
100422913,hsa-mir-320e
442897,hsa-mir-323a
574410,hsa-mir-323b
442898,hsa-mir-324
442899,hsa-mir-325
442900,hsa-mir-326
442901,hsa-mir-328
574408,hsa-mir-329-1
574409,hsa-mir-329-2
442903,hsa-mir-331
442904,hsa-mir-335
442905,hsa-mir-337
442906,hsa-mir-338
442907,hsa-mir-339
407039,hsa-mir-33a
693120,hsa-mir-33b
442908,hsa-mir-340
442909,hsa-mir-342
442910,hsa-mir-345
442911,hsa-mir-346
106614088,hsa-mir-34a
407040,hsa-mir-34a
407041,hsa-mir-34b
407042,hsa-mir-34c
100616238,hsa-mir-3529
100616357,hsa-mir-3591
100500819,hsa-mir-3609
494323,hsa-mir-361
100500890,hsa-mir-3611
100500817,hsa-mir-3612
100500908,hsa-mir-3613
100500814,hsa-mir-3616
100500897,hsa-mir-3617
100500828,hsa-mir-3619
574030,hsa-mir-362
100500811,hsa-mir-3621
100500871,hsa-mir-3622b
574033,hsa-mir-363
574032,hsa-mir-363
574031,hsa-mir-363
407049,hsa-mir-363
406981,hsa-mir-363
406899,hsa-mir-363
100500813,hsa-mir-3646
103504731,hsa-mir-3648-1
100500862,hsa-mir-3648-1
103504731,hsa-mir-3648-2
100500862,hsa-mir-3648-2
100500816,hsa-mir-3649
100500824,hsa-mir-3650
100500918,hsa-mir-3651
100500833,hsa-mir-3653
100500889,hsa-mir-3657
100500801,hsa-mir-3659
100126355,hsa-mir-365a
100126356,hsa-mir-365b
100500825,hsa-mir-3660
100500905,hsa-mir-3661
100500880,hsa-mir-3662
100500893,hsa-mir-3663
100500844,hsa-mir-3664
100500861,hsa-mir-3665
100500896,hsa-mir-3666
100500882,hsa-mir-3667
100500879,hsa-mir-3668
442912,hsa-mir-367
103504740,hsa-mir-3670-1
103504726,hsa-mir-3670-1
100846994,hsa-mir-3670-1
100500910,hsa-mir-3670-1
103504740,hsa-mir-3670-2
103504726,hsa-mir-3670-2
100846994,hsa-mir-3670-2
100500910,hsa-mir-3670-2
103504740,hsa-mir-3670-3
103504726,hsa-mir-3670-3
100846994,hsa-mir-3670-3
100500910,hsa-mir-3670-3
103504740,hsa-mir-3670-4
103504726,hsa-mir-3670-4
100846994,hsa-mir-3670-4
100500910,hsa-mir-3670-4
100500854,hsa-mir-3671
100500869,hsa-mir-3672
100500876,hsa-mir-3675
100500812,hsa-mir-3677
100500841,hsa-mir-3678
100500878,hsa-mir-3679
100847041,hsa-mir-3680-1
100500917,hsa-mir-3680-1
100847041,hsa-mir-3680-2
100500917,hsa-mir-3680-2
100500884,hsa-mir-3681
100500850,hsa-mir-3682
100500886,hsa-mir-3683
100500867,hsa-mir-3684
100500802,hsa-mir-3685
100500839,hsa-mir-3686
103504728,hsa-mir-3687-1
100500815,hsa-mir-3687-1
103504728,hsa-mir-3687-2
100500815,hsa-mir-3687-2
100500881,hsa-mir-3688-1
100616303,hsa-mir-3688-2
100500881,hsa-mir-3688-2
100500846,hsa-mir-3689a
100500906,hsa-mir-3689b
100616333,hsa-mir-3689c
100616131,hsa-mir-3689d-1
100616344,hsa-mir-3689d-2
100616460,hsa-mir-3689e
100616212,hsa-mir-3689f
442914,hsa-mir-369
100500894,hsa-mir-3690-1
100500894,hsa-mir-3690-2
100500900,hsa-mir-3691
100500899,hsa-mir-3692
442915,hsa-mir-370
100500855,hsa-mir-3713
442916,hsa-mir-371a
100616185,hsa-mir-371b
442917,hsa-mir-372
442918,hsa-mir-373
442919,hsa-mir-374a
100126317,hsa-mir-374b
100500807,hsa-mir-374c
100126317,hsa-mir-374c
494324,hsa-mir-375
494325,hsa-mir-376a-1
664615,hsa-mir-376a-2
574435,hsa-mir-376b
442913,hsa-mir-376c
494326,hsa-mir-377
494327,hsa-mir-378a
100422933,hsa-mir-378b
100422867,hsa-mir-378c
100616201,hsa-mir-378d-1
100616169,hsa-mir-378d-2
100616498,hsa-mir-378e
100616492,hsa-mir-378f
100616321,hsa-mir-378g
100616306,hsa-mir-378h
102465136,hsa-mir-378j
494328,hsa-mir-379
494329,hsa-mir-380
494330,hsa-mir-381
494331,hsa-mir-382
494332,hsa-mir-383
494333,hsa-mir-384
100500835,hsa-mir-3907
100500909,hsa-mir-3908
100500826,hsa-mir-3909
100500821,hsa-mir-3910-1
100500902,hsa-mir-3910-2
100500872,hsa-mir-3911
100500831,hsa-mir-3912
100500903,hsa-mir-3913-1
100500903,hsa-mir-3913-2
100500868,hsa-mir-3913-2
100500836,hsa-mir-3914-1
100500920,hsa-mir-3914-2
100500836,hsa-mir-3914-2
100500915,hsa-mir-3915
100500851,hsa-mir-3918
100500803,hsa-mir-3919
100500823,hsa-mir-3920
100500859,hsa-mir-3921
100500843,hsa-mir-3922
100500877,hsa-mir-3923
100500834,hsa-mir-3924
100500885,hsa-mir-3925
100500870,hsa-mir-3926-1
100500838,hsa-mir-3926-2
100500898,hsa-mir-3927
100500901,hsa-mir-3928
100500864,hsa-mir-3929
100500873,hsa-mir-3934
100500891,hsa-mir-3935
100500865,hsa-mir-3936
100500822,hsa-mir-3937
100500875,hsa-mir-3938
100500857,hsa-mir-3939
100500866,hsa-mir-3941
100500904,hsa-mir-3942
100500829,hsa-mir-3943
100500911,hsa-mir-3944
100500818,hsa-mir-3945
100616188,hsa-mir-3972
100616311,hsa-mir-3973
100616279,hsa-mir-3974
100616257,hsa-mir-3975
100616244,hsa-mir-3976
100616297,hsa-mir-3977
100616491,hsa-mir-3978
574413,hsa-mir-409
574434,hsa-mir-410
693121,hsa-mir-411
574433,hsa-mir-412
693122,hsa-mir-421
494334,hsa-mir-422a
494336,hsa-mir-424
84848,hsa-mir-424
494337,hsa-mir-425
100422968,hsa-mir-4251
100422975,hsa-mir-4252
100422914,hsa-mir-4253
100423028,hsa-mir-4254
100422898,hsa-mir-4255
100422976,hsa-mir-4256
100422997,hsa-mir-4257
100423020,hsa-mir-4258
100422852,hsa-mir-4259
100422929,hsa-mir-4261
100422996,hsa-mir-4262
100422965,hsa-mir-4263
100422888,hsa-mir-4264
100422863,hsa-mir-4265
100423027,hsa-mir-4266
100422994,hsa-mir-4267
100422959,hsa-mir-4268
100423043,hsa-mir-4269
100422868,hsa-mir-4270
100422952,hsa-mir-4271
100422941,hsa-mir-4272
100422955,hsa-mir-4273
100422826,hsa-mir-4274
100422937,hsa-mir-4275
100423042,hsa-mir-4276
100422966,hsa-mir-4277
100422999,hsa-mir-4278
100422874,hsa-mir-4279
100422887,hsa-mir-4280
100422962,hsa-mir-4281
100423005,hsa-mir-4282
100422917,hsa-mir-4283-1
100422848,hsa-mir-4283-1
100422917,hsa-mir-4283-2
100422848,hsa-mir-4283-2
100422948,hsa-mir-4284
100422858,hsa-mir-4285
100422982,hsa-mir-4286
100422828,hsa-mir-4287
100422903,hsa-mir-4288
100423015,hsa-mir-4289
554210,hsa-mir-429
100422963,hsa-mir-4290
100422927,hsa-mir-4291
100422860,hsa-mir-4292
100422843,hsa-mir-4293
100422895,hsa-mir-4294
100422909,hsa-mir-4295
100423041,hsa-mir-4296
100422873,hsa-mir-4297
100423021,hsa-mir-4298
100423026,hsa-mir-4299
100422823,hsa-mir-4300
100422855,hsa-mir-4301
100422897,hsa-mir-4302
100422924,hsa-mir-4303
100422931,hsa-mir-4304
100422940,hsa-mir-4305
100422861,hsa-mir-4306
100423019,hsa-mir-4307
100422984,hsa-mir-4308
100422954,hsa-mir-4309
574038,hsa-mir-431
100423013,hsa-mir-4310
100422905,hsa-mir-4311
100422971,hsa-mir-4312
100423035,hsa-mir-4313
100422983,hsa-mir-4314
100422851,hsa-mir-4316
100422840,hsa-mir-4317
100422857,hsa-mir-4318
100422829,hsa-mir-4319
574451,hsa-mir-432
100422865,hsa-mir-4320
100422925,hsa-mir-4322
100422980,hsa-mir-4323
100422979,hsa-mir-4324
100422883,hsa-mir-4325
100422945,hsa-mir-4326
100422891,hsa-mir-4327
100422932,hsa-mir-4328
574034,hsa-mir-433
100422930,hsa-mir-4330
100616489,hsa-mir-4417
100616433,hsa-mir-4418
100616177,hsa-mir-4419a
100616298,hsa-mir-4419b
100616164,hsa-mir-4420
100616189,hsa-mir-4421
100616272,hsa-mir-4422
100616481,hsa-mir-4423
100616328,hsa-mir-4424
100616365,hsa-mir-4425
100616390,hsa-mir-4427
100616141,hsa-mir-4428
100616469,hsa-mir-4429
100616136,hsa-mir-4430
100616431,hsa-mir-4431
100616473,hsa-mir-4432
100616265,hsa-mir-4433a
102465833,hsa-mir-4433b
100616419,hsa-mir-4434
100616499,hsa-mir-4435-1
100616499,hsa-mir-4435-2
100616341,hsa-mir-4435-2
100616399,hsa-mir-4436a
100847033,hsa-mir-4436b-1
100616123,hsa-mir-4436b-1
100847033,hsa-mir-4436b-2
100616123,hsa-mir-4436b-2
100616213,hsa-mir-4437
100616375,hsa-mir-4438
100616207,hsa-mir-4439
100616397,hsa-mir-4440
100616493,hsa-mir-4441
100616407,hsa-mir-4443
100846999,hsa-mir-4444-1
100846999,hsa-mir-4444-2
100616129,hsa-mir-4445
100616476,hsa-mir-4446
100616485,hsa-mir-4447
100616127,hsa-mir-4448
100616436,hsa-mir-4449
100616299,hsa-mir-4450
100616349,hsa-mir-4451
100616463,hsa-mir-4452
100616193,hsa-mir-4453
54553,hsa-mir-4453
100616234,hsa-mir-4454
100616111,hsa-mir-4455
100616381,hsa-mir-4456
100616235,hsa-mir-4457
100616142,hsa-mir-4458
100505738,hsa-mir-4458
100616233,hsa-mir-4459
100616325,hsa-mir-4460
100616209,hsa-mir-4461
100616413,hsa-mir-4462
100616389,hsa-mir-4463
100616109,hsa-mir-4464
100616180,hsa-mir-4465
100616154,hsa-mir-4466
100616484,hsa-mir-4470
100616451,hsa-mir-4471
100616268,hsa-mir-4472-1
100616309,hsa-mir-4472-2
100616229,hsa-mir-4473
100616441,hsa-mir-4474
100616289,hsa-mir-4475
100616456,hsa-mir-4476
100616194,hsa-mir-4477a
100616184,hsa-mir-4477a
100616194,hsa-mir-4477b
100616184,hsa-mir-4477b
100616312,hsa-mir-4478
100616480,hsa-mir-4479
554212,hsa-mir-448
100616151,hsa-mir-4480
100616320,hsa-mir-4481
100616323,hsa-mir-4482
